t,episode,true_task_idx,x_before,vx_before,true_goal
0,3,1,-0.0769696980714798,0,3.14
1,3,1,-0.0545387119054794,0,3.14
2,3,1,-0.0459005460143089,0,3.14
3,3,1,-0.0398537814617157,0,3.14
4,3,1,-0.0102149695158004,0,3.14
5,3,1,-0.0310176275670528,0,3.14
6,3,1,-0.0917534083127975,0,3.14
7,3,1,-0.1497181057929992,0,3.14
8,3,1,-0.1766577810049057,0,3.14
9,3,1,-0.1944484114646911,0,3.14
10,3,1,-0.2319022566080093,0,3.14
11,3,1,-0.2873283922672272,0,3.14
12,3,1,-0.3431041836738586,0,3.14
13,3,1,-0.3899284303188324,0,3.14
14,3,1,-0.4354442656040191,0,3.14
15,3,1,-0.4889386296272278,0,3.14
16,3,1,-0.5738899111747742,0,3.14
17,3,1,-0.6916952729225159,0,3.14
18,3,1,-0.7934842109680176,0,3.14
19,3,1,-0.8628057241439819,0,3.14
20,3,1,-0.9339171648025512,0,3.14
21,3,1,-1.015594482421875,0,3.14
22,3,1,-1.098659634590149,0,3.14
23,3,1,-1.1778346300125122,0,3.14
24,3,1,-1.2461739778518677,0,3.14
25,3,1,-1.3041913509368896,0,3.14
26,3,1,-1.3531982898712158,0,3.14
27,3,1,-1.393640398979187,0,3.14
28,3,1,-1.4257349967956543,0,3.14
29,3,1,-1.4496222734451294,0,3.14
30,3,1,-1.4655247926712036,0,3.14
31,3,1,-1.473892092704773,0,3.14
32,3,1,-1.478632926940918,0,3.14
33,3,1,-1.4761441946029663,0,3.14
34,3,1,-1.4429131746292114,0,3.14
35,3,1,-1.4041595458984375,0,3.14
36,3,1,-1.4061676263809204,0,3.14
37,3,1,-1.4251703023910522,0,3.14
38,3,1,-1.413784742355347,0,3.14
39,3,1,-1.3594095706939695,0,3.14
40,3,1,-1.2969071865081787,0,3.14
41,3,1,-1.2538046836853027,0,3.14
42,3,1,-1.2257455587387085,0,3.14
43,3,1,-1.2101460695266724,0,3.14
44,3,1,-1.2005764245986938,0,3.14
45,3,1,-1.1940416097640991,0,3.14
46,3,1,-1.191449761390686,0,3.14
47,3,1,-1.195054292678833,0,3.14
48,3,1,-1.203559160232544,0,3.14
49,3,1,-1.2118656635284424,0,3.14
50,3,1,-1.2161858081817627,0,3.14
51,3,1,-1.216392993927002,0,3.14
52,3,1,-1.214239478111267,0,3.14
53,3,1,-1.2115825414657593,0,3.14
54,3,1,-1.2091567516326904,0,3.14
55,3,1,-1.206935167312622,0,3.14
56,3,1,-1.2049071788787842,0,3.14
57,3,1,-1.203163504600525,0,3.14
58,3,1,-1.2019380331039429,0,3.14
59,3,1,-1.2015208005905151,0,3.14
60,3,1,-1.2020188570022583,0,3.14
61,3,1,-1.203170895576477,0,3.14
62,3,1,-1.2041507959365845,0,3.14
63,3,1,-1.2047582864761353,0,3.14
64,3,1,-1.2051445245742798,0,3.14
65,3,1,-1.2057212591171265,0,3.14
66,3,1,-1.2074131965637207,0,3.14
67,3,1,-1.209308385848999,0,3.14
68,3,1,-1.210378646850586,0,3.14
69,3,1,-1.2107725143432615,0,3.14
70,3,1,-1.2113158702850342,0,3.14
71,3,1,-1.2124979496002195,0,3.14
72,3,1,-1.2141324281692505,0,3.14
73,3,1,-1.2153998613357544,0,3.14
74,3,1,-1.2154788970947266,0,3.14
75,3,1,-1.2142406702041626,0,3.14
76,3,1,-1.2123407125473022,0,3.14
77,3,1,-1.210493564605713,0,3.14
78,3,1,-1.2090909481048584,0,3.14
79,3,1,-1.208224534988403,0,3.14
80,3,1,-1.2078965902328491,0,3.14
81,3,1,-1.2080808877944946,0,3.14
82,3,1,-1.2087451219558716,0,3.14
83,3,1,-1.2097848653793335,0,3.14
84,3,1,-1.2109295129776,0,3.14
85,3,1,-1.2118443250656128,0,3.14
86,3,1,-1.212307095527649,0,3.14
87,3,1,-1.2122992277145386,0,3.14
88,3,1,-1.211950421333313,0,3.14
89,3,1,-1.211435317993164,0,3.14
90,3,1,-1.2109018564224243,0,3.14
91,3,1,-1.210448980331421,0,3.14
92,3,1,-1.2101362943649292,0,3.14
93,3,1,-1.2100038528442385,0,3.14
94,3,1,-1.2100169658660889,0,3.14
95,3,1,-1.2100807428359983,0,3.14
96,3,1,-1.2101422548294067,0,3.14
97,3,1,-1.210201382637024,0,3.14
98,3,1,-1.210281252861023,0,3.14
99,3,1,-1.2103440761566162,0,3.14
