current_goal,target_goal,latent_mean,latent_std,encoding
0.0275024194270372,7.36794376373291,-1.772883057594299,3.2790184020996094,-0.9596518278121948
0.1978883445262909,7.36794376373291,-5.35254430770874,0.5787811279296875,-4.97466278076172
0.5821883678436279,7.36794376373291,-5.567597389221192,0.0919472798705101,-5.807698726654053
0.8424760699272155,7.36794376373291,-5.442926406860352,0.0603033453226089,-5.4623637199401855
0.8537321090698241,7.36794376373291,-5.431042194366455,0.0456099100410938,-5.519129753112793
1.0214214324951172,7.36794376373291,-5.5024046897888175,0.0369005836546421,-5.59620475769043
1.240984320640564,7.36794376373291,-5.499679088592528,0.0368913821876049,-5.456455230712891
1.3367948532104492,7.36794376373291,-5.498993396759033,0.0368815325200557,-5.479376316070557
1.4737157821655271,7.36794376373291,-5.499565601348877,0.0368954390287399,-5.514320373535156
1.8272634744644165,7.36794376373291,-5.498953819274902,0.0369026251137256,-5.507991790771484
2.0100228786468506,7.36794376373291,-5.496464252471924,0.0369213335216045,-5.459293842315674
2.341650485992432,7.36794376373291,-5.495484828948976,0.036969419568777,-5.517292022705078
2.692826271057129,7.36794376373291,-5.49381685256958,0.0370123535394668,-5.554180145263672
3.110592126846313,7.36794376373291,-5.492572784423828,0.0370917357504367,-5.484480857849121
3.4096038341522217,7.36794376373291,-5.492381095886231,0.0373037010431289,-5.544447422027588
3.514219522476196,7.36794376373291,-5.494382381439209,0.0375489704310894,-5.514946460723877
3.6575219631195055,7.36794376373291,-5.5007853507995605,0.0380145572125911,-5.528263092041016
4.014827251434326,7.36794376373291,-5.495092868804932,0.0387914329767227,-5.466963768005371
4.355140209197998,7.36794376373291,-5.442153930664063,0.041434172540903,-5.407214164733888
4.654170036315918,7.36794376373291,-5.4186339378356925,0.0540217235684394,-5.434696674346924
4.935863971710205,7.36794376373291,-5.292621612548828,0.0484666042029857,-5.303188800811768
5.37603759765625,7.36794376373291,-4.241770267486572,0.4619657099246978,-5.257592678070068
5.867136001586913,7.36794376373291,-4.240113735198976,0.4333234131336212,-4.578506946563721
6.206020832061768,7.36794376373291,-4.7013487815856925,0.1546411663293838,-4.614823341369629
6.350047588348389,7.36794376373291,-5.050553798675537,0.083121471107006,-5.06255578994751
6.508672714233398,7.36794376373291,-5.146597862243652,0.0928425416350364,-5.189632892608643
