timestep,Ours_mean_mse,Ours_std_mse,PEARL_mean_mse,PEARL_std_mse,RL2_mean_mse,RL2_std_mse,CEMRL_mean_mse,CEMRL_std_mse,MELTS_mean_mse,MELTS_std_mse
0,3.6341424887229903,1.692044489660797,3.549504023082862,1.4803103863196678,3.7346712054132434,1.4967376514930424,4.746942671952507,2.535192219509667,5.12551598863627,2.2861637674063457
1,2.536386241036427,1.075362588630148,3.589938167991731,2.4180263088727987,4.52520838534467,3.7414839546629315,4.973949495825632,2.5238155539662275,4.2221324396697675,2.093481487032117
2,2.9262829671777126,2.8046032360229782,3.9686808864247873,2.7729884531902353,3.8919068165904545,2.8017409976002647,3.227659939045059,2.6448792950425943,2.9196878968437807,1.8101310213123867
3,1.5633969385832955,2.7690917778232333,3.7938969166273377,2.5391247381405067,3.51792596717868,1.7057722536026274,0.8986871245622462,1.3073511895781607,1.5474175448423997,1.687236999044775
4,0.48141332384163543,0.4698696734743438,4.153926303307099,3.3307330463792346,4.236010211769856,3.6358946970279242,0.5364716200392654,0.6855215281929703,1.2606298300676275,1.6712528304436487
5,0.965105066714357,1.2564403746109696,4.589902825100495,3.4881488122917044,4.661423435875147,3.3518512105330496,0.9361440787445255,1.02476580233903,1.3325718231922732,1.3178473720305466
6,1.6732375955347332,2.4856947704448307,5.007339460403944,3.3882269546272044,5.732931000544478,4.575217989517082,1.0019649806816757,0.8958607396506244,1.1490347166904877,0.9378790865557265
7,1.2106709551765296,1.344867098756444,3.737652106231255,3.1450878709613836,4.3569086529585075,2.9620098004492026,0.6931178099519928,0.7323309440496831,0.6690460689023359,0.6735216005554336
8,0.40439404087354025,0.5026025769450554,4.002868945392228,2.5317850100691737,5.504275481567675,3.282892388069483,0.6424700914999821,0.9020539718276835,0.35404914649364655,0.3902854937188441
9,0.44631894910441144,0.503335017733715,4.3226837650823215,3.8074044246579573,4.485230732609068,2.5470995335817412,0.44250824882366346,0.6917924761820778,0.292191247976892,0.5495132563554881
10,0.30347319485152774,0.13962693387210318,4.077491110975994,2.622704614865182,4.219948222318211,2.9095025887969292,0.2815366828268868,0.25898096565672113,0.252115737123627,0.44150555346151127
11,0.1753171849785361,0.16143620432484435,4.968575348444926,4.047871265137895,4.4938021266277905,3.1881080022048196,0.2507620229324041,0.3947357289736807,0.265847831961257,0.3743959649642555
12,0.44706662782398937,0.3922390514950193,3.90644443721342,3.029531728340281,5.779697151930557,4.34905214510887,0.24944239459939777,0.4005308573585214,0.18123446913238203,0.2214233971048999
13,0.11080423794937821,0.13910267416291422,5.456590091816609,3.9706351847595682,5.570260335529724,3.875014555437832,0.19565496692513074,0.24436206502803298,0.12552225723180505,0.1407064070598932
14,0.19689752776612943,0.24558610625913227,3.544465726149927,3.063861850825458,4.8191492467245185,2.858230833748647,0.22046466232787776,0.2856963629341652,0.1159925291787201,0.15364052373099446
15,0.05346417548200005,0.06382317039897122,4.766830467012404,5.195896862354807,4.5440062430722685,3.570861959472931,0.20185216939844985,0.22910718508478345,0.13422484325281722,0.21052150502694675
16,0.13052289944450865,0.1184479936053587,4.755816100085358,4.065770933012052,5.355483201048868,3.2550296078682077,0.18120263827168584,0.24929999389202723,0.13372117957420343,0.17848940112275616
17,0.2998411958680172,0.22244539620901224,4.604451658865767,3.107480176346475,4.859327880096267,3.4723402673396957,0.32121078111103707,0.5865275766983723,0.13870527157587725,0.2682158931894319
18,0.1279117984931182,0.10806519215502931,4.9283352337008814,4.548535757651571,3.8110007838501807,2.110987722246462,0.2436485401748606,0.3140319807693406,0.11948749373213502,0.1311847078176438
19,0.11952664426102988,0.15349374999885082,5.51075777360828,4.71904680501617,3.8295920728348074,3.1334907793749607,0.1660700641271844,0.19851467861324038,0.0837092768993269,0.10478864940960562
20,0.16751627242118905,0.2550293311500584,4.827070998245826,4.658683145256482,4.828475133640972,3.793961588308724,0.09253504774867845,0.1726016785692265,0.12807315958467552,0.15208083571217484
21,0.1955090099843297,0.2722004238775713,3.3422649119451373,2.8610594010836734,3.4893631277732977,3.0167429876729766,0.11782980675820909,0.14920060762381396,0.12852793630528167,0.18772798274636157
22,0.2635151356611571,0.2293137180118026,5.052111274322531,4.930479695324679,2.833761289407239,2.833103364126099,0.12602665709584376,0.1987808543264925,0.13208598526567958,0.18365074644770785
23,0.1851774036902956,0.21685741899189312,4.271717000752866,3.7029028079301005,4.316454013688347,3.323421415658457,0.19241739105536484,0.29728341482305426,0.1123101499238922,0.15627587211384616
24,0.12297054267978418,0.11762519957591216,4.472244111148302,5.150516468117602,4.534159441629874,3.286486228736171,0.1319291821282279,0.18085452339130245,0.15624831496002747,0.17740656892368686
25,0.20249603250749615,0.38420860015543495,5.3657269257537985,6.112376055147177,4.69845798683663,3.091046161048233,0.12743810004591755,0.15523668203030586,0.1546230433203132,0.2169340732063913
26,0.12407633009063557,0.1369780482305948,4.477506158487303,5.595312531622934,3.7809129443347604,2.5908643273866483,0.20250197322821847,0.26554863746659196,0.1848139608296034,0.19805370517695844
27,0.17596451864568374,0.1836788011660101,4.933361815601161,5.318522400360543,3.6588968424635007,2.674503924856488,0.1870239221986535,0.24039131167761663,0.16652775126199199,0.20887108732960902
28,0.055810008916417665,0.06392110956703186,3.6710194940820866,4.256883913483958,5.135456262867589,4.256600754307255,0.12517018453522438,0.15793644040570018,0.15920111427002445,0.2524405853357096
29,0.1695334287336817,0.2392224435647273,4.785490113650106,5.37371326981246,4.877949607662226,3.3852517032349216,0.13036967517771184,0.18368656073194786,0.11138927136674383,0.19647105460534575
30,0.09065030624286635,0.10346912776507086,4.163691462135863,4.0566903137598445,4.037614433402746,2.563416643792822,0.15618145567866662,0.3053670336900179,0.14789044743907684,0.20886592098457948
31,0.13994658755920303,0.12438390617177324,5.130230021248419,5.41412742294179,4.337852132218196,2.214113336856712,0.17267601008478725,0.24100191983835562,0.13014453505343532,0.2253347407947906
32,0.11372160183351569,0.12260955256083303,4.272265560594879,4.344447644194358,3.644691890463286,2.553625268332544,0.1346659230537998,0.2605839147972684,0.09877714779261657,0.1559992311589208
33,0.05807399601421017,0.08937824546868901,5.236598611556991,5.954713890388357,3.460977618224586,2.661404286691532,0.15864321386841382,0.1923488545685105,0.13987388650196875,0.28145581019410365
34,0.39850023005293395,0.36965206488195484,7.290730626201224,8.722331272170466,4.502559460780934,5.6550948978565385,0.15214930720865258,0.21211972130805698,0.11599839518634732,0.19393009531879665
35,0.07795518310478754,0.08867301935113144,4.663793420721158,4.4973748576797865,4.045041353109372,2.946230161092054,0.1900141410595778,0.23360727655124477,0.14580637876183372,0.23164944939516116
36,0.3485862414551379,0.670398769210705,5.542031590159143,6.30373495884048,5.725705168855949,4.004297348687075,0.16429185632909166,0.24337074374276646,0.12434878541588638,0.20070068835090146
37,0.22219321903537118,0.255137494532531,4.447887648478672,4.252244069815714,3.965737585617325,2.8945666655994944,0.14486634846578098,0.1742277373987301,0.07181489681827917,0.10862952185350844
38,0.15549193742768494,0.328895146662662,5.120488340099259,4.473949858129879,3.146046276841902,2.047697758667406,0.10351979316202871,0.16769761003386713,0.07092135368261913,0.08207186501832962
39,0.28265195091007106,0.3446828596758535,5.453921890624556,5.473152130004354,3.872684617012454,3.2873391221397594,0.13355164356522542,0.21516084504671593,0.1111083152865258,0.13030300743480003
40,0.2766463573915509,0.3492028369231842,4.869244098380594,4.523164707477578,4.205133069950964,2.908002817337955,0.13385813326340706,0.22266404218092414,0.10563792049718078,0.11978312443931971
41,0.1662714117359443,0.10115428095637988,4.802724310452721,5.172533188879701,4.296386816558535,3.7183710629840445,0.1453264510615264,0.2735585464758466,0.11317718933591801,0.16334361171324205
42,0.1380991476876703,0.10863040970869635,4.645024346742056,4.8140146234931995,4.7697715077027425,4.277477017980324,0.14040037251108403,0.20176831094326453,0.08746325144651575,0.16810907973865377
43,0.32497663229569806,0.4954385187608644,4.437632551070142,4.248798125375208,4.453872861114307,2.629981645209739,0.1301222240282654,0.2305996630690028,0.07341426776194043,0.10840190924203853
44,0.21642878228674664,0.1881648505593719,4.390387292824806,4.474803383014448,3.939538025579185,3.5273772672769113,0.14876516439126547,0.19031386998364586,0.06673394116526465,0.06920066622675564
45,0.25973317924056877,0.30223177123108197,4.6357587516435625,5.282484031352017,3.4797023430908087,2.279982995370134,0.1749544471067867,0.23083139526144955,0.0801350565229067,0.0902624422884591
46,0.342941396905116,0.3995662227222394,3.557423842820695,3.64752564688335,3.7856926243851663,2.9125115624233775,0.1353242361429458,0.18196536744926062,0.0895740908041333,0.10171265739709694
47,0.10764214860955094,0.11083695318449731,4.021362518438023,3.545194986076291,4.16270608278795,2.348269848217789,0.07556697470595662,0.10048149260069432,0.06903055683318514,0.0988132329582406
48,0.13974735384879686,0.18180268384876605,4.133642060401983,3.8429329334255384,4.180633401608584,2.374698328233959,0.12879630376614226,0.1983254035836379,0.09845029580199989,0.10444516397445576
49,0.16250820887867332,0.14678971227503096,3.679688464656942,3.355353232507736,3.9711733403483844,2.763628648008861,0.12476412934715281,0.20109334273558485,0.09348832724458259,0.08727716456546604
50,0.293444821224336,0.3730738695149168,5.535853643801514,6.214449276367604,3.8101055350863344,3.262960764157994,0.16659099557395796,0.28239709573564886,0.09593123647492693,0.12291319301466301
51,0.4308169917249553,0.455542203593601,5.401434932493508,4.9763630446777025,4.327237753028005,4.991987097970516,0.11308535644464368,0.1353314182747842,0.08668880355490813,0.1355443456979149
52,0.1455712114766757,0.1550296038154155,4.446918527276186,5.661458436305299,4.786568812189653,2.685909506247518,0.12825829946324901,0.20253653925355092,0.06820818376110131,0.10779282479883097
53,0.08429744863486804,0.10383583393487543,5.590176121549491,6.972632404858284,4.8095501220089085,3.816935247242632,0.137645901824869,0.17710388181496922,0.06515782765545515,0.06447909737930356
54,0.16655535606263996,0.26506390103160193,5.115971282362335,5.514889558890355,4.314247799916253,3.316212298245535,0.14921805059666976,0.2010637173136836,0.08492468453910659,0.0837090898446891
55,0.05534854325533788,0.06329709436051423,4.7540101654351465,5.507964696974286,4.115860617154325,3.248705688283781,0.11906777478516645,0.14292459995675139,0.08307757689804873,0.09642690270143357
56,0.111139382685452,0.21475505026711575,4.609941846666292,4.747447679876281,3.172892407989698,2.420764020118199,0.07218111916545937,0.07716596090944192,0.13163241055084632,0.17807261025206905
57,0.1796789405241056,0.2503183911706621,5.448768176179075,5.595960996981581,3.726521409689754,2.603786878151167,0.12536591150855858,0.1672295942363005,0.09295398340326685,0.16127704506414217
58,0.49615135514596703,0.6997291768871073,6.23621575037746,7.096886976916056,4.402503099161314,2.309041906497253,0.1444810852923074,0.22683661107341768,0.08295124706622108,0.09026628659667918
59,0.22925165327821617,0.35860277660487117,4.941409298979731,4.771384279880387,5.594901819947712,4.557165495803971,0.10462124919261194,0.1278040222648479,0.09072091136368289,0.0957212078956454
60,0.6216925495899573,1.1263535270218121,4.704329279445812,4.501125778207718,5.7818365331269,3.5141315350013653,0.1555622329910148,0.20920943929452285,0.0763657441236581,0.07731585457833894
61,0.0954877679102585,0.11037254691592473,4.623585382081478,5.071237466816883,5.443039949526836,4.263425281242597,0.1647825646015559,0.19042147656578293,0.06002509267103181,0.08231288439372725
62,0.21668881083855981,0.3098141935148269,5.745087281661195,6.9609953861465215,4.5519350421180444,3.4328624292042473,0.2102724180538679,0.2579482813937743,0.08513803386893731,0.08394907807073855
63,0.12211304410559909,0.25615767395983774,4.2332929928115215,4.701099988712029,4.903639998768368,2.70983682307031,0.12570854184416538,0.17435659110963403,0.09862621611335005,0.11331130260037382
64,0.19787271584899727,0.2717225695236035,5.971060330523504,6.560262850563046,6.660836189809703,6.086527071426397,0.17016598630221538,0.21436710898496594,0.11648841499992472,0.11062448345804768
65,0.23196160969588545,0.3968475241765457,5.4985038492528195,5.7681824311687535,5.525967993158647,4.512104515062985,0.10581282568159008,0.11189143196942691,0.08511326189307783,0.1310004226513547
66,0.20825088067586398,0.21706169515133128,5.183878014316758,5.93622125389485,4.682240907920534,3.7466232508988107,0.09799800972550045,0.14785205106156088,0.10112745740972998,0.16529287959723243
67,0.11813596499901043,0.1400698708659382,5.923447110510082,7.710017461476402,3.998517745720543,2.738327184741436,0.11200804385621901,0.212487510200896,0.10232535187461562,0.15789725743258987
68,0.15862322346772875,0.1878970913229041,5.139098577207081,5.182023302919113,4.838860095513149,3.3910244497910385,0.0948477740024234,0.151707146397546,0.12353633815922017,0.1360211033774536
