t,episode,true_task_idx,x_before,vx_before,true_goal
0,3,1,0.0872700214385986,0,3.14
1,3,1,0.114097848534584,0,3.14
2,3,1,0.1644153594970703,0,3.14
3,3,1,0.2105823457241058,0,3.14
4,3,1,0.2142011672258377,0,3.14
5,3,1,0.2215877622365951,0,3.14
6,3,1,0.3018285632133484,0,3.14
7,3,1,0.3727037012577057,0,3.14
8,3,1,0.4196642339229584,0,3.14
9,3,1,0.4834024906158447,0,3.14
10,3,1,0.5412148833274841,0,3.14
11,3,1,0.5816493630409241,0,3.14
12,3,1,0.6472241878509521,0,3.14
13,3,1,0.7196319103240967,0,3.14
14,3,1,0.7564732432365417,0,3.14
15,3,1,0.7977334856987,0,3.14
16,3,1,0.8442736268043518,0,3.14
17,3,1,0.8666470050811768,0,3.14
18,3,1,0.90829598903656,0,3.14
19,3,1,0.9471452832221984,0,3.14
20,3,1,0.9550675749778748,0,3.14
21,3,1,0.9706434607505798,0,3.14
22,3,1,1.0003470182418823,0,3.14
23,3,1,0.9962011575698853,0,3.14
24,3,1,1.017757534980774,0,3.14
25,3,1,1.062923789024353,0,3.14
26,3,1,1.066964030265808,0,3.14
27,3,1,1.0656077861785889,0,3.14
28,3,1,1.0967680215835571,0,3.14
29,3,1,1.114784598350525,0,3.14
30,3,1,1.1204302310943604,0,3.14
31,3,1,1.1410876512527466,0,3.14
32,3,1,1.1847357749938965,0,3.14
33,3,1,1.2299540042877195,0,3.14
34,3,1,1.2634410858154297,0,3.14
35,3,1,1.295080065727234,0,3.14
36,3,1,1.2986620664596558,0,3.14
37,3,1,1.3192226886749268,0,3.14
38,3,1,1.3556894063949585,0,3.14
39,3,1,1.3852249383926392,0,3.14
40,3,1,1.4290415048599243,0,3.14
41,3,1,1.4663569927215576,0,3.14
42,3,1,1.4508650302886963,0,3.14
43,3,1,1.475014328956604,0,3.14
44,3,1,1.509523868560791,0,3.14
45,3,1,1.5321033000946045,0,3.14
46,3,1,1.546710729598999,0,3.14
47,3,1,1.5691052675247192,0,3.14
48,3,1,1.56962251663208,0,3.14
49,3,1,1.57398521900177,0,3.14
50,3,1,1.5759665966033936,0,3.14
51,3,1,1.5580438375473022,0,3.14
52,3,1,1.5408337116241455,0,3.14
53,3,1,1.5506702661514282,0,3.14
54,3,1,1.5497490167617798,0,3.14
55,3,1,1.5315465927124023,0,3.14
56,3,1,1.548318862915039,0,3.14
57,3,1,1.5756921768188477,0,3.14
58,3,1,1.5659337043762207,0,3.14
59,3,1,1.533960461616516,0,3.14
60,3,1,1.5300430059432983,0,3.14
61,3,1,1.5541452169418335,0,3.14
62,3,1,1.546810746192932,0,3.14
63,3,1,1.5110411643981934,0,3.14
64,3,1,1.484098196029663,0,3.14
65,3,1,1.5160253047943115,0,3.14
66,3,1,1.5656074285507202,0,3.14
67,3,1,1.5904086828231812,0,3.14
68,3,1,1.6178606748580933,0,3.14
69,3,1,1.648637294769287,0,3.14
70,3,1,1.6699479818344116,0,3.14
71,3,1,1.6814725399017334,0,3.14
72,3,1,1.6905462741851809,0,3.14
73,3,1,1.7122012376785278,0,3.14
74,3,1,1.7392630577087402,0,3.14
75,3,1,1.752837061882019,0,3.14
76,3,1,1.742181658744812,0,3.14
77,3,1,1.751122236251831,0,3.14
78,3,1,1.774351716041565,0,3.14
79,3,1,1.7532166242599487,0,3.14
80,3,1,1.7356985807418823,0,3.14
81,3,1,1.7440307140350342,0,3.14
82,3,1,1.763700246810913,0,3.14
83,3,1,1.768244981765747,0,3.14
84,3,1,1.7731720209121704,0,3.14
85,3,1,1.8041369915008545,0,3.14
86,3,1,1.824997067451477,0,3.14
87,3,1,1.8328815698623655,0,3.14
88,3,1,1.837731122970581,0,3.14
89,3,1,1.8496581315994265,0,3.14
90,3,1,1.849813222885132,0,3.14
91,3,1,1.86666202545166,0,3.14
92,3,1,1.881193280220032,0,3.14
93,3,1,1.887104868888855,0,3.14
94,3,1,1.888155579566956,0,3.14
95,3,1,1.894625425338745,0,3.14
96,3,1,1.8903902769088743,0,3.14
97,3,1,1.901538848876953,0,3.14
98,3,1,1.9291492700576784,0,3.14
99,3,1,1.9687403440475464,0,3.14
