t,episode,true_task_idx,x_before,vx_before,true_goal
0,6,3,0,-0.1457006782293319,-2.35
1,6,3,0,-0.0958278253674507,-2.35
2,6,3,0,0.0530352890491485,-2.35
3,6,3,0,0.2261624038219452,-2.35
4,6,3,0,-0.3199862837791443,-2.35
5,6,3,0,0.3586763441562652,-2.35
6,6,3,0,0.5794208645820618,-2.35
7,6,3,0,0.6820355653762817,-2.35
8,6,3,0,0.5931116342544556,-2.35
9,6,3,0,1.0118783712387085,-2.35
10,6,3,0,0.4726089239120483,-2.35
11,6,3,0,0.7224047780036926,-2.35
12,6,3,0,0.6975848078727722,-2.35
13,6,3,0,0.5368126630783081,-2.35
14,6,3,0,-0.0666580125689506,-2.35
15,6,3,0,0.6219521760940552,-2.35
16,6,3,0,0.0191533211618661,-2.35
17,6,3,0,0.4393059015274048,-2.35
18,6,3,0,0.0119328135624527,-2.35
19,6,3,0,0.1969718188047409,-2.35
20,6,3,0,0.1907017827033996,-2.35
21,6,3,0,0.0677831619977951,-2.35
22,6,3,0,-0.0484120808541774,-2.35
23,6,3,0,0.3456100523471832,-2.35
24,6,3,0,-0.3037292659282684,-2.35
25,6,3,0,0.2008895426988601,-2.35
26,6,3,0,-0.4772992432117462,-2.35
27,6,3,0,-0.1244703605771064,-2.35
28,6,3,0,-0.9282919764518738,-2.35
29,6,3,0,-0.3116206228733063,-2.35
30,6,3,0,0.0152766751125454,-2.35
31,6,3,0,0.094384841620922,-2.35
32,6,3,0,0.0213920436799526,-2.35
33,6,3,0,-0.4999151825904846,-2.35
34,6,3,0,-0.2841289043426513,-2.35
35,6,3,0,-0.0811871439218521,-2.35
36,6,3,0,-0.235872745513916,-2.35
37,6,3,0,-0.098690278828144,-2.35
38,6,3,0,0.1553917080163955,-2.35
39,6,3,0,0.5107458233833313,-2.35
40,6,3,0,0.3474158644676208,-2.35
41,6,3,0,-0.6000152230262756,-2.35
42,6,3,0,0.0524595715105533,-2.35
43,6,3,0,-0.0464718043804168,-2.35
44,6,3,0,-0.149627685546875,-2.35
45,6,3,0,0.2023559361696243,-2.35
46,6,3,0,-0.1187654137611389,-2.35
47,6,3,0,-0.2095927894115448,-2.35
48,6,3,0,0.3392536342144012,-2.35
49,6,3,0,-0.2185310125350952,-2.35
50,6,3,0,0.1421196609735489,-2.35
51,6,3,0,-0.300650954246521,-2.35
52,6,3,0,-0.8604016304016113,-2.35
53,6,3,0,-0.0691282078623771,-2.35
54,6,3,0,0.7589399218559265,-2.35
55,6,3,0,0.214542418718338,-2.35
56,6,3,0,-0.2223345041275024,-2.35
57,6,3,0,-0.2062248885631561,-2.35
58,6,3,0,0.7718399167060852,-2.35
59,6,3,0,0.4679297208786011,-2.35
60,6,3,0,0.4629609584808349,-2.35
61,6,3,0,-0.013787904754281,-2.35
62,6,3,0,-0.0301489774137735,-2.35
63,6,3,0,-0.2716690897941589,-2.35
64,6,3,0,0.2183329910039901,-2.35
65,6,3,0,-0.2275280505418777,-2.35
66,6,3,0,-0.0195238348096609,-2.35
67,6,3,0,-0.6091506481170654,-2.35
68,6,3,0,-0.5225223898887634,-2.35
69,6,3,0,0.3731821179389953,-2.35
70,6,3,0,0.3640791475772857,-2.35
71,6,3,0,-0.5364924073219299,-2.35
72,6,3,0,-0.4576507806777954,-2.35
73,6,3,0,-0.0646288841962814,-2.35
74,6,3,0,0.2804732918739319,-2.35
75,6,3,0,-0.086536705493927,-2.35
76,6,3,0,0.3256779015064239,-2.35
77,6,3,0,0.0801363065838813,-2.35
78,6,3,0,0.814032256603241,-2.35
79,6,3,0,0.1779952645301818,-2.35
80,6,3,0,0.8188621997833252,-2.35
81,6,3,0,0.6910078525543213,-2.35
82,6,3,0,0.4434272348880768,-2.35
83,6,3,0,0.4243739545345306,-2.35
84,6,3,0,0.1313581317663192,-2.35
85,6,3,0,0.0100966058671474,-2.35
86,6,3,0,-0.2947458326816559,-2.35
87,6,3,0,0.0102776810526847,-2.35
88,6,3,0,0.5411717295646667,-2.35
89,6,3,0,-0.2888606190681457,-2.35
90,6,3,0,0.3450584411621094,-2.35
91,6,3,0,1.1980319023132324,-2.35
92,6,3,0,0.0965984389185905,-2.35
93,6,3,0,-0.0148177267983555,-2.35
94,6,3,0,0.6597787141799927,-2.35
95,6,3,0,0.2220586687326431,-2.35
96,6,3,0,0.1504723727703094,-2.35
97,6,3,0,0.4817407429218292,-2.35
98,6,3,0,0.2759247422218323,-2.35
99,6,3,0,0.8610557913780212,-2.35
