t,episode,true_task_idx,x_before,vx_before,true_goal
0,0,1,-0.0614763207619052,0.0308186780519827,-9.02
1,0,1,-0.5179895782623315,-0.1383828853102625,-9.02
2,0,1,-2.0271084471781804,-1.2498994646135304,-9.02
3,0,1,-2.120468050489067,-2.225737865094612,-9.02
4,0,1,-4.115144137514584,-2.265772205210432,-9.02
5,0,1,-5.89992205178212,-2.3311439440414268,-9.02
6,0,1,-6.14482255292492,-1.6692088036948958,-9.02
7,0,1,-7.796568571297676,-2.8297264872590446,-9.02
8,0,1,-7.931784634371199,-2.455938004300648,-9.02
9,0,1,-8.020246609223431,-1.4790176021715773,-9.02
10,0,1,-8.846322175735306,-0.9313204261558764,-9.02
11,0,1,-9.191645367444886,0.8864081043395202,-9.02
12,0,1,-9.130629384613249,1.2778189894605747,-9.02
13,0,1,-8.838153845628842,-0.25759057746746,-9.02
14,0,1,-8.8489789569632,-0.1322237035205729,-9.02
15,0,1,-8.807977816006298,1.2224614374877218,-9.02
16,0,1,-8.809284565218833,-0.7063409827959604,-9.02
17,0,1,-8.806587902255886,0.2586105095014753,-9.02
18,0,1,-8.847652605161523,-1.279481770587634,-9.02
19,0,1,-8.892641431828086,-0.5622979114391902,-9.02
20,0,1,-8.907591525824225,-0.6005990117234264,-9.02
21,0,1,-8.89083829872171,0.7167082557724023,-9.02
22,0,1,-8.937460680809922,0.4087419616049592,-9.02
23,0,1,-8.960697551125191,-0.7480001770409295,-9.02
24,0,1,-8.95468744841155,0.5907326962416739,-9.02
25,0,1,-8.895957360982502,-1.4358582578766923,-9.02
26,0,1,-8.924596362336642,-0.1740254436357265,-9.02
27,0,1,-8.941160913844236,-0.4686631777487648,-9.02
28,0,1,-9.03692173084508,0.4395007229208493,-9.02
29,0,1,-8.828694192603137,-0.4869997736574166,-9.02
30,0,1,-8.867226492237846,-0.8005236888927986,-9.02
31,0,1,-8.871568619386341,0.2116999256681246,-9.02
32,0,1,-8.883707995242945,-0.5106453707340757,-9.02
33,0,1,-8.913752961049436,-0.5011507854972496,-9.02
34,0,1,-8.926463776359629,-0.069781456581961,-9.02
35,0,1,-8.965784007273513,-1.6962099709703504,-9.02
36,0,1,-9.002533038506854,-0.1730770217892357,-9.02
37,0,1,-9.013455261211446,-0.2042604421101437,-9.02
38,0,1,-9.272508475300786,0.3294442950249073,-9.02
39,0,1,-9.245231780656772,0.5965629880886414,-9.02
40,0,1,-9.087792145874133,-0.393473467596994,-9.02
41,0,1,-9.10550876379526,-0.3229749806763676,-9.02
42,0,1,-9.08204959038271,0.8544426829438869,-9.02
43,0,1,-9.085800244174845,-0.432759601320604,-9.02
44,0,1,-9.08963718034567,0.1327157311970142,-9.02
45,0,1,-9.07360102194454,0.3717755919039084,-9.02
46,0,1,-9.092613879381512,-0.6419484519747288,-9.02
47,0,1,-9.0978122229419,0.2178975841451001,-9.02
48,0,1,-9.061122405014004,0.9436597352888076,-9.02
49,0,1,-9.022518708132957,0.0140264600583869,-9.02
50,0,1,-9.021078245062531,-0.00995368447313,-9.02
51,0,1,-9.02999984519405,0.0054796060223092,-9.02
52,0,1,-9.03555294548765,-0.1058711154398333,-9.02
53,0,1,-9.128984318132447,-0.5197854763614478,-9.02
54,0,1,-9.108040326776988,0.8632787017003614,-9.02
55,0,1,-9.004711446606224,-0.2388907500432127,-9.02
56,0,1,-8.994501938187573,0.3712576918529165,-9.02
57,0,1,-8.988123030948053,0.2597970360931239,-9.02
58,0,1,-8.983541425040961,-0.3110068631990362,-9.02
59,0,1,-8.85991553430583,-0.4576090531307524,-9.02
60,0,1,-8.943294577693504,-0.2299847838073933,-9.02
61,0,1,-8.835259042508183,-0.0411273450019679,-9.02
62,0,1,-8.866802505883083,-0.8127981565167541,-9.02
63,0,1,-8.918309679501878,-1.069587584972126,-9.02
64,0,1,-8.931896503692021,0.1474549558385938,-9.02
65,0,1,-8.937603989343295,-0.3147645371608972,-9.02
