t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
0,0,0,1,1,-0.0037476436631493,0.0017333986244226,-0.0290122967004187,-1.1927339386104456,-9.02
1,0,0,0,1,-0.0290122967004187,-1.1927339386104456,-0.080238264460121,-1.282314619751166,-9.02
2,0,0,0,1,-0.080238264460121,-1.282314619751166,-0.7170291620314366,-1.8510114571894856,-9.02
3,0,0,0,0,-0.7170291620314366,-1.8510114571894856,-0.8050208402060948,-2.492330206281393,-9.02
4,0,0,0,0,-0.8050208402060948,-2.492330206281393,-2.800969140835716,-3.209307485509264,-9.02
5,0,0,0,0,-2.800969140835716,-3.209307485509264,-4.974121258444026,-3.9069163604589767,-9.02
6,0,0,1,0,-4.974121258444026,-3.9069163604589767,-5.806886347565342,0.3519900194842397,-9.02
7,0,0,1,0,-5.806886347565342,0.3519900194842397,-5.790033803878586,0.0601272201904707,-9.02
8,0,0,0,0,-5.790033803878586,0.0601272201904707,-6.012339349519932,0.0013962967806292,-9.02
9,0,0,0,0,-6.012339349519932,0.0013962967806292,-6.308191501209004,-0.9585284047674032,-9.02
10,0,0,0,0,-6.308191501209004,-0.9585284047674032,-6.335112637400651,-0.4415919066590212,-9.02
11,0,0,0,0,-6.335112637400651,-0.4415919066590212,-6.344365723552178,0.0191015012989377,-9.02
12,0,0,0,0,-6.344365723552178,0.0191015012989377,-6.389448634488465,-0.5531798417611142,-9.02
13,0,0,0,0,-6.389448634488465,-0.5531798417611142,-6.408067949666277,0.0277512887651731,-9.02
14,0,0,0,0,-6.408067949666277,0.0277512887651731,-6.435555842117024,-1.35409965226734,-9.02
15,0,0,0,0,-6.435555842117024,-1.35409965226734,-6.470534746795503,-0.4802070497683453,-9.02
16,0,0,0,0,-6.470534746795503,-0.4802070497683453,-6.567870826953165,-0.6690843609210697,-9.02
17,0,0,0,0,-6.567870826953165,-0.6690843609210697,-6.602324853055991,-0.8317478479693377,-9.02
18,0,0,0,0,-6.602324853055991,-0.8317478479693377,-7.01342549124323,-2.492117097456421,-9.02
19,0,0,0,0,-7.01342549124323,-2.492117097456421,-7.096448763288236,-1.9046677064222968,-9.02
20,0,0,0,0,-7.096448763288236,-1.9046677064222968,-7.445063070908094,-2.5236406553257718,-9.02
21,0,0,0,0,-7.445063070908094,-2.5236406553257718,-7.536345116322221,-2.0861728147500007,-9.02
22,0,0,0,0,-7.536345116322221,-2.0861728147500007,-8.06082775354084,-3.164595441287503,-9.02
