t,episode,true_task_idx,x_before,vx_before,true_goal
0,11,2,0,0.2784174680709839,2.35
1,11,2,0,0.1323637813329696,2.35
2,11,2,0,0.577659010887146,2.35
3,11,2,0,0.0903816446661949,2.35
4,11,2,0,-0.3251769244670868,2.35
5,11,2,0,0.2415775060653686,2.35
6,11,2,0,0.7326967120170593,2.35
7,11,2,0,1.317904353141785,2.35
8,11,2,0,1.1523916721343994,2.35
9,11,2,0,0.7943938970565796,2.35
10,11,2,0,1.0247623920440674,2.35
11,11,2,0,1.1095967292785645,2.35
12,11,2,0,1.5310086011886597,2.35
13,11,2,0,1.8103309869766235,2.35
14,11,2,0,2.20412278175354,2.35
15,11,2,0,2.140710592269897,2.35
16,11,2,0,2.11855149269104,2.35
17,11,2,0,2.223244428634644,2.35
18,11,2,0,2.402754783630371,2.35
19,11,2,0,2.365368366241455,2.35
20,11,2,0,1.8169546127319336,2.35
21,11,2,0,1.5766098499298096,2.35
22,11,2,0,1.820737600326538,2.35
23,11,2,0,2.6308438777923584,2.35
24,11,2,0,3.018531322479248,2.35
25,11,2,0,2.4817709922790527,2.35
26,11,2,0,1.725048303604126,2.35
27,11,2,0,1.6713594198226929,2.35
28,11,2,0,1.5651298761367798,2.35
29,11,2,0,2.0633115768432617,2.35
30,11,2,0,2.3196845054626465,2.35
31,11,2,0,2.4343016147613525,2.35
32,11,2,0,2.24310040473938,2.35
33,11,2,0,1.8072456121444704,2.35
34,11,2,0,1.7048248052597046,2.35
35,11,2,0,1.910279393196106,2.35
36,11,2,0,2.1997740268707275,2.35
37,11,2,0,2.122145891189575,2.35
38,11,2,0,2.235890865325928,2.35
39,11,2,0,2.087524890899658,2.35
40,11,2,0,1.8549150228500368,2.35
41,11,2,0,2.0718424320220947,2.35
42,11,2,0,2.2158989906311035,2.35
43,11,2,0,2.2498154640197754,2.35
44,11,2,0,2.249331474304199,2.35
45,11,2,0,1.825024366378784,2.35
46,11,2,0,1.7506566047668457,2.35
47,11,2,0,1.8417669534683228,2.35
48,11,2,0,2.004236221313477,2.35
49,11,2,0,2.19758677482605,2.35
50,11,2,0,2.184997320175171,2.35
51,11,2,0,2.2646615505218506,2.35
52,11,2,0,1.971416711807251,2.35
53,11,2,0,1.936324119567871,2.35
54,11,2,0,2.2473504543304443,2.35
55,11,2,0,2.374202013015747,2.35
56,11,2,0,2.133631944656372,2.35
57,11,2,0,2.231320858001709,2.35
58,11,2,0,1.8484153747558596,2.35
59,11,2,0,1.832032799720764,2.35
60,11,2,0,2.050159454345703,2.35
61,11,2,0,2.0467350482940674,2.35
62,11,2,0,2.098433256149292,2.35
63,11,2,0,2.3270087242126465,2.35
64,11,2,0,2.2359251976013184,2.35
65,11,2,0,2.052262306213379,2.35
66,11,2,0,1.9378942251205444,2.35
67,11,2,0,2.0808234214782715,2.35
68,11,2,0,2.5699446201324463,2.35
69,11,2,0,2.5807909965515137,2.35
70,11,2,0,2.3789844512939453,2.35
71,11,2,0,1.7238216400146484,2.35
72,11,2,0,1.6249816417694092,2.35
73,11,2,0,1.3273571729660034,2.35
74,11,2,0,1.4570411443710327,2.35
75,11,2,0,1.985290765762329,2.35
76,11,2,0,2.48907208442688,2.35
77,11,2,0,2.3494553565979004,2.35
78,11,2,0,1.6950010061264038,2.35
79,11,2,0,1.478070616722107,2.35
80,11,2,0,1.4412281513214111,2.35
81,11,2,0,1.9831678867340088,2.35
82,11,2,0,2.342679977416992,2.35
83,11,2,0,2.201646089553833,2.35
84,11,2,0,2.0819332599639893,2.35
85,11,2,0,1.7533870935440063,2.35
86,11,2,0,1.5294307470321655,2.35
87,11,2,0,1.8377060890197756,2.35
88,11,2,0,1.986117601394653,2.35
89,11,2,0,2.105785369873047,2.35
90,11,2,0,2.1324679851531982,2.35
91,11,2,0,2.3936092853546143,2.35
92,11,2,0,2.1691575050354004,2.35
93,11,2,0,2.027206420898437,2.35
94,11,2,0,2.188974142074585,2.35
95,11,2,0,2.2916152477264404,2.35
96,11,2,0,2.130851984024048,2.35
97,11,2,0,2.4786407947540283,2.35
98,11,2,0,2.417221546173096,2.35
99,11,2,0,2.4858734607696533,2.35
