t,episode,true_task_idx,x_before,vx_before,true_goal
0,6,3,0,0.2315627336502075,-2.35
1,6,3,0,-0.6393035054206848,-2.35
2,6,3,0,0.5244751572608948,-2.35
3,6,3,0,0.1876507997512817,-2.35
4,6,3,0,-0.7524182796478271,-2.35
5,6,3,0,-0.988037645816803,-2.35
6,6,3,0,-0.7390417456626892,-2.35
7,6,3,0,-0.7451298236846924,-2.35
8,6,3,0,-1.2690387964248655,-2.35
9,6,3,0,-2.254279613494873,-2.35
10,6,3,0,-2.4223339557647705,-2.35
11,6,3,0,-1.802568316459656,-2.35
12,6,3,0,-1.5771732330322266,-2.35
13,6,3,0,-1.7398741245269775,-2.35
14,6,3,0,-1.945512652397156,-2.35
15,6,3,0,-2.2031466960906982,-2.35
16,6,3,0,-2.447384595870972,-2.35
17,6,3,0,-2.6185531616210938,-2.35
18,6,3,0,-2.1246395111083984,-2.35
19,6,3,0,-2.0305428504943848,-2.35
20,6,3,0,-2.070601224899292,-2.35
21,6,3,0,-2.3547489643096924,-2.35
22,6,3,0,-2.6250193119049072,-2.35
23,6,3,0,-2.2649779319763184,-2.35
24,6,3,0,-2.204197406768799,-2.35
25,6,3,0,-2.326263666152954,-2.35
26,6,3,0,-2.384265661239624,-2.35
27,6,3,0,-2.7257421016693115,-2.35
28,6,3,0,-2.622198343276977,-2.35
29,6,3,0,-2.323182821273804,-2.35
30,6,3,0,-2.36800217628479,-2.35
31,6,3,0,-2.306306838989258,-2.35
32,6,3,0,-2.4388320446014404,-2.35
33,6,3,0,-2.457432985305786,-2.35
34,6,3,0,-2.107764482498169,-2.35
35,6,3,0,-2.3539650440216064,-2.35
36,6,3,0,-2.390610694885254,-2.35
37,6,3,0,-2.2418200969696045,-2.35
38,6,3,0,-2.790202140808105,-2.35
39,6,3,0,-2.558553695678711,-2.35
40,6,3,0,-2.369270086288452,-2.35
41,6,3,0,-2.3963372707366943,-2.35
42,6,3,0,-2.366046905517578,-2.35
43,6,3,0,-2.3220744132995605,-2.35
44,6,3,0,-2.5611133575439453,-2.35
45,6,3,0,-2.622292280197144,-2.35
46,6,3,0,-2.53838324546814,-2.35
47,6,3,0,-2.369586229324341,-2.35
48,6,3,0,-2.272536277770996,-2.35
49,6,3,0,-2.631324052810669,-2.35
50,6,3,0,-2.245851993560791,-2.35
51,6,3,0,-2.425121307373047,-2.35
52,6,3,0,-2.3369784355163574,-2.35
53,6,3,0,-2.365219593048096,-2.35
54,6,3,0,-2.745378971099853,-2.35
55,6,3,0,-2.4173364639282227,-2.35
56,6,3,0,-2.3854823112487797,-2.35
57,6,3,0,-2.3832035064697266,-2.35
58,6,3,0,-2.346968173980713,-2.35
59,6,3,0,-2.43804144859314,-2.35
60,6,3,0,-2.81113338470459,-2.35
61,6,3,0,-2.41914176940918,-2.35
62,6,3,0,-2.5009450912475586,-2.35
63,6,3,0,-2.460427761077881,-2.35
64,6,3,0,-2.379953384399414,-2.35
65,6,3,0,-2.67444372177124,-2.35
66,6,3,0,-2.8207461833953857,-2.35
67,6,3,0,-2.4656009674072266,-2.35
68,6,3,0,-2.3974311351776123,-2.35
69,6,3,0,-2.3022475242614746,-2.35
70,6,3,0,-2.4379751682281494,-2.35
71,6,3,0,-2.8289589881896973,-2.35
72,6,3,0,-2.386835813522339,-2.35
73,6,3,0,-2.500443458557129,-2.35
74,6,3,0,-2.4615187644958496,-2.35
75,6,3,0,-2.3610565662384038,-2.35
76,6,3,0,-2.703815698623657,-2.35
77,6,3,0,-2.7530081272125244,-2.35
78,6,3,0,-2.4535083770751958,-2.35
79,6,3,0,-2.643603563308716,-2.35
80,6,3,0,-2.600541591644287,-2.35
81,6,3,0,-2.4855542182922363,-2.35
82,6,3,0,-2.962878704071045,-2.35
83,6,3,0,-2.640575885772705,-2.35
84,6,3,0,-2.595613956451416,-2.35
85,6,3,0,-2.608677864074707,-2.35
86,6,3,0,-2.481367826461792,-2.35
87,6,3,0,-2.656047821044922,-2.35
88,6,3,0,-3.1631436347961426,-2.35
89,6,3,0,-2.7394392490386963,-2.35
90,6,3,0,-2.828617572784424,-2.35
91,6,3,0,-2.7124183177948,-2.35
92,6,3,0,-2.567286729812622,-2.35
93,6,3,0,-2.794439554214477,-2.35
94,6,3,0,-3.0552003383636475,-2.35
95,6,3,0,-2.653658151626587,-2.35
96,6,3,0,-2.883755922317505,-2.35
97,6,3,0,-2.797693967819214,-2.35
98,6,3,0,-2.775447130203247,-2.35
99,6,3,0,-3.0940301418304443,-2.35
