2.851081132888793945e+00	1.637359261512756348e+00	-5.467739105224609375e+00	-2.629825592041015625e+00
2.745210409164428711e+00	2.322496891021728516e+00	-5.454729080200195312e+00	-2.735268592834472656e+00
3.012730121612548828e+00	2.423285245895385742e+00	-5.667904853820800781e+00	-2.889290809631347656e+00
2.898164510726928711e+00	2.457337856292724609e+00	-5.790915012359619141e+00	-3.108544826507568359e+00
2.496072292327880859e+00	1.781437397003173828e+00	-5.207168579101562500e+00	-4.504699707031250000e+00
2.002335786819458008e+00	1.235177516937255859e+00	-5.310079574584960938e+00	-4.914495944976806641e+00
1.818403482437133789e+00	8.120450377464294434e-01	-5.052027225494384766e+00	-5.945099353790283203e+00
1.914809346199035645e+00	1.340840816497802734e+00	-5.152065277099609375e+00	-5.911441802978515625e+00
2.077568054199218750e+00	1.170627117156982422e+00	-5.053195476531982422e+00	-5.574639797210693359e+00
1.891339302062988281e+00	1.217484712600708008e+00	-5.511396408081054688e+00	-6.182722568511962891e+00
1.726462721824645996e+00	4.476325511932373047e-01	-4.670389175415039062e+00	-5.702036857604980469e+00
1.589967846870422363e+00	9.038383364677429199e-01	-5.313344001770019531e+00	-5.651343822479248047e+00
1.315137863159179688e+00	9.807962775230407715e-01	-5.150893688201904297e+00	-5.810720920562744141e+00
1.534074902534484863e+00	6.657829284667968750e-01	-5.073075771331787109e+00	-5.918859004974365234e+00
1.686347723007202148e+00	6.961615085601806641e-01	-4.766879558563232422e+00	-5.660165786743164062e+00
1.647477507591247559e+00	1.122858285903930664e+00	-5.300182342529296875e+00	-5.957030296325683594e+00
1.733149170875549316e+00	1.216630101203918457e+00	-5.296894073486328125e+00	-6.533007144927978516e+00
1.454383850097656250e+00	9.476880431175231934e-01	-5.271543979644775391e+00	-5.652571201324462891e+00
1.470296859741210938e+00	1.315998911857604980e+00	-5.335912227630615234e+00	-6.704757690429687500e+00
1.472636461257934570e+00	1.627991557121276855e+00	-4.996623516082763672e+00	-6.174158573150634766e+00
1.180552840232849121e+00	1.986254692077636719e+00	-4.792259693145751953e+00	-5.465920925140380859e+00
1.399769902229309082e+00	1.494355797767639160e+00	-5.284081935882568359e+00	-6.459998607635498047e+00
1.294541239738464355e+00	1.849247455596923828e+00	-4.954384326934814453e+00	-6.172419071197509766e+00
1.236811757087707520e+00	1.724392652511596680e+00	-5.087887287139892578e+00	-6.127132892608642578e+00
1.105461955070495605e+00	1.956111431121826172e+00	-5.089468479156494141e+00	-6.146016597747802734e+00
1.153733611106872559e+00	1.439945340156555176e+00	-4.933224678039550781e+00	-5.819712638854980469e+00
1.052357673645019531e+00	1.810320854187011719e+00	-5.689297199249267578e+00	-6.557103157043457031e+00
1.230067729949951172e+00	9.744331836700439453e-01	-5.310417175292968750e+00	-5.691430091857910156e+00
1.648141145706176758e+00	1.643409967422485352e+00	-5.852639198303222656e+00	-5.782247066497802734e+00
1.638976573944091797e+00	1.620059132575988770e+00	-5.313724517822265625e+00	-6.755637645721435547e+00
1.776313543319702148e+00	1.904454231262207031e+00	-5.639307022094726562e+00	-6.696143627166748047e+00
1.753720521926879883e+00	2.730618476867675781e+00	-5.335998058319091797e+00	-6.268187522888183594e+00
1.858477592468261719e+00	1.677606940269470215e+00	-5.803852558135986328e+00	-6.051426410675048828e+00
1.760300517082214355e+00	1.619857072830200195e+00	-5.650773525238037109e+00	-6.550241947174072266e+00
1.785313725471496582e+00	2.295070648193359375e+00	-5.717240810394287109e+00	-5.979417800903320312e+00
1.972451806068420410e+00	1.811063885688781738e+00	-4.905919551849365234e+00	-6.424653530120849609e+00
2.099234342575073242e+00	1.795764207839965820e+00	-5.577818870544433594e+00	-7.006128787994384766e+00
2.371536970138549805e+00	1.926463842391967773e+00	-5.930668354034423828e+00	-5.910913467407226562e+00
2.411576271057128906e+00	2.132020235061645508e+00	-5.190170288085937500e+00	-5.828151702880859375e+00
2.417590141296386719e+00	2.338730573654174805e+00	-5.205907344818115234e+00	-6.597457885742187500e+00
2.504771471023559570e+00	2.329060554504394531e+00	-5.732316493988037109e+00	-5.854650497436523438e+00
2.488296985626220703e+00	1.661172628402709961e+00	-5.590900421142578125e+00	-6.627431869506835938e+00
2.644743680953979492e+00	1.809424161911010742e+00	-5.954895496368408203e+00	-6.559247493743896484e+00
2.809970855712890625e+00	2.119085073471069336e+00	-5.212621688842773438e+00	-6.921665668487548828e+00
